DateTime,rain,temp_min,temp_max
1973-04-20,0,23.02,36.19
1973-04-21,0,22.12,35.86
1973-04-22,0,22.77,35.92
1973-04-23,0,23.13,35.49
1973-04-24,0,23.68,35.5
1973-04-25,0,23.22,36.93
1973-04-26,0,23.73,37.74
1973-04-27,2.3783,22.18,37.47
1973-04-28,0,23.45,36.32
1973-04-29,0,24.13,37.94
1973-04-30,0,23.97,38.23
1973-05-01,0.9446,24.38,37.84
1973-05-02,0.6382,23.4,36.8
1973-05-03,0,23.07,36.47
1973-05-04,0,24.03,36.83
1973-05-05,0,22.61,37.14
1973-05-06,0,22.87,36.22
1973-05-07,29.3791,21.14,35.64
1973-05-08,0,22.77,33.53
1973-05-09,0,22.31,34.53
1973-05-10,0,22.23,35.47
1973-05-11,0,23.24,36.36
1973-05-12,0,23.13,32.95
1973-05-13,0,22.78,36.18
1973-05-14,0,22.62,36.58
1973-05-15,0.7586,21.98,36.32
1973-05-16,0,23.23,36.41
1973-05-17,0,24.21,34.44
1973-05-18,0.5734,21.28,35.49
1973-05-19,0.5714,22.09,35.14
1973-05-20,0,21.96,32.07
1973-05-21,0.1758,21.64,33.6
1973-05-22,0,22.19,33.06
1973-05-23,2.9749,20.99,31.31
1973-05-24,0,22.06,32.47
1973-05-25,0,22.27,34.05
1973-05-26,0.2658,22,35.09
1973-05-27,3.0456,22.29,34.62
1973-05-28,0,23.07,34.36
1973-05-29,3.3396,21.86,35.6
1973-05-30,0.9446,22.59,36.46
1973-05-31,0.1758,23.14,32.65
1973-06-01,1.4202,22.88,34.68
1973-06-02,41.0624,21.83,35.15
1973-06-03,0,21.9,32.58
1973-06-04,7.6293,22.68,32.19
1973-06-05,2.4447,23.05,32.72
1973-06-06,2.2001,22.58,31.83
1973-06-07,8.8348,21.32,31.88
1973-06-08,0,21.78,29.57
1973-06-09,0,22.26,30.77
1973-06-10,0,22.35,30.52
1973-06-11,3.5293,22.1,29
1973-06-12,1.1006,20.8,29.05
1973-06-13,0,21.19,28.04
1973-06-14,0,21.6,30.69
1973-06-15,2.5783,21.37,30.98
1973-06-16,0,21.67,30.73
1973-06-17,0,21.41,31.17
1973-06-18,0,21.32,28.11
1973-06-19,1.4738,21.36,30.29
1973-06-20,27.1463,20.93,31.14
1973-06-21,6.1416,20.35,32.63
1973-06-22,0,20.92,32.88
1973-06-23,0,21.18,32.98
1973-06-24,0,20.63,33.07
1973-06-25,0,21.67,32.79
1973-06-26,0.4835,21.43,31.32
1973-06-27,5.2568,20.91,30.51
1973-06-28,1.1305,20.95,30.41
1973-06-29,2.4233,20.79,31.04
1973-06-30,0,21.63,31.1
1973-07-01,1.0602,21.56,32.19
1973-07-02,2.9522,21.16,29.89
1973-07-03,0,21.35,29.93
1973-07-04,0,20.92,30.01
1973-07-05,0,21.16,28.95
1973-07-06,0.3305,20.14,28.79
1973-07-07,1.0808,20.8,26.76
1973-07-08,1.7422,20.73,27.26
1973-07-09,2.5698,21.02,27.44
1973-07-10,3.223,20.37,28.34
1973-07-11,0,20.7,29.77
1973-07-12,0,20.82,29.66
1973-07-13,0.9258,21.01,30.05
1973-07-14,0,21.2,30.65
1973-07-15,0,20.7,30.86
1973-07-16,0,20.67,29.78
1973-07-17,0,20.88,30.7
1973-07-18,7.1466,21.31,30.84
1973-07-19,5.2788,20.85,30.34
1973-07-20,0,20.85,29.51
1973-07-21,5.6462,20.56,30.53
1973-07-22,1.9432,20.95,31.65
1973-07-23,2.3395,21.59,31.96
1973-07-24,0,21.14,32.54
1973-07-25,0,21.61,32.55
1973-07-26,3.7492,21.09,32.5
1973-07-27,0,21.23,30.97
1973-07-28,0.8203,21.32,31.19
1973-07-29,6.489,20.93,31.45
1973-07-30,15.8462,21.15,31.76
1973-07-31,16.6756,20.82,31.14
1973-08-01,1.3918,21.54,31.1
1973-08-02,0.443,20.9,29.92
1973-08-03,24.7576,20.41,28.66
1973-08-04,11.707,20.44,27.32
1973-08-05,0.1329,20.71,27.06
1973-08-06,14.8636,20.38,27.1
1973-08-07,7.0432,20.18,27.57
1973-08-08,1.8891,20.73,28.77
1973-08-09,2.9776,20.92,28.65
1973-08-10,3.9223,20.44,28.55
1973-08-11,11.9367,20.33,28.96
1973-08-12,18.3073,20.75,27.59
1973-08-13,7.4661,20.63,29.38
1973-08-14,0.7586,20.34,26.82
1973-08-15,8.0718,20.2,26.92
1973-08-16,2.0278,20.68,26.95
1973-08-17,8.7732,20.61,27.73
1973-08-18,0,20.52,28.04
1973-08-19,0,20.47,28.08
1973-08-20,1.5823,20.23,28.59
1973-08-21,0.4409,20.19,28.65
1973-08-22,2.022,19.69,28.16
1973-08-23,0,20.1,28.46
1973-08-24,0,20.65,29.09
1973-08-25,0,20.74,29.64
1973-08-26,0.8845,20.7,29.65
1973-08-27,3.9709,20.83,29.22
1973-08-28,0,20.85,28.74
1973-08-29,0.8047,19.88,29.29
1973-08-30,0,20.26,29.76
1973-08-31,6.4324,20.86,30.36
1973-09-01,2.6618,20.46,29.25
1973-09-02,0,19.61,30.19
1973-09-03,0,20.25,31.2
1973-09-04,0,20.59,30.2
1973-09-05,0.4395,20.56,30.03
1973-09-06,11.7408,20.3,29.62
1973-09-07,0,19.86,30.36
1973-09-08,0,19.81,30.58
1973-09-09,0.5315,20.64,31.1
1973-09-10,0,20.38,30.65
1973-09-11,4.6164,20.46,30.89
1973-09-12,0,20.7,30.31
1973-09-13,0,20.35,30.26
1973-09-14,1.8891,20.91,30.94
1973-09-15,20.6769,20.09,30.38
1973-09-16,28.4041,19.88,29.89
1973-09-17,33.0642,20.48,29.86
1973-09-18,31.4212,19.94,29.2
1973-09-19,0,20.88,28.73
1973-09-20,27.6783,19.94,28.14
1973-09-21,9.5428,20.27,28.12
1973-09-22,3.2649,19.54,28.08
1973-09-23,0.2215,18.56,28.14
1973-09-24,2.1495,18.69,29.51
1973-09-25,8.8616,19.44,29.95
1973-09-26,2.8337,20.98,30.23
1973-09-27,12.3798,20.52,30.15
1973-09-28,65.4795,20,29.23
1973-09-29,0,21.04,30.09
1973-09-30,35.2777,20.7,30.27
1973-10-01,3.557,20.47,29.65
1973-10-02,0,19.74,29.09
1973-10-03,0.9801,19.85,28.2
1973-10-04,0,18.53,28.73
1973-10-05,0,18.53,29.93
1973-10-06,0,18.22,30.67
1973-10-07,0,17.4,30.37
1973-10-08,0,17.84,30.12
1973-10-09,0,19.88,30.53
1973-10-10,16.3377,20.04,29.93
1973-10-11,4.9324,20.78,30.19
1973-10-12,13.8223,20.83,27.5
1973-10-13,0.7586,19.85,29.48
1973-10-14,0,20.96,29.89
1973-10-15,0,21.18,29.27
1973-10-16,0,20.77,29.9
1973-10-17,17.5936,20.67,30.35
1973-10-18,0,20.7,30.18
1973-10-19,7.6133,21.52,30.63
1973-10-20,0,20.55,29.02
1973-10-21,1.8338,20.78,28.68
1973-10-22,13.9971,21.01,25.99
1973-10-23,24.2323,20.37,27.27
1973-10-24,7.0372,20.59,28.39
1973-10-25,11.287,20.14,28.67
1973-10-26,11.6162,20.2,29.11
1973-10-27,31.5966,20.22,29.21
1973-10-28,0.1107,20.62,28.48
1973-10-29,0.9446,20.76,29.07
1973-10-30,12.712,20.88,27.69
1973-10-31,4.1229,20.99,26.19
1973-11-01,18.2064,20.57,26.34
1973-11-02,4.9949,20.54,28.17
1973-11-03,0,21,28.71
1973-11-04,0,20.61,28.54
1973-11-05,0.1859,19.11,29
1973-11-06,0,17.61,28
1973-11-07,0,15.14,26.58
1973-11-08,0,14.2,27.27
1973-11-09,0,14.78,27.7
1973-11-10,0,16.42,28.26
1973-11-11,0,18.28,29.2
1973-11-12,0,19.51,29.26
1973-11-13,7.5525,19.94,29.31
1973-11-14,0,19.38,26.83
1973-11-15,0,19.77,28.41
1973-11-16,0,19.71,27.99
1973-11-17,0,19.54,28.87
1973-11-18,0,17.64,28.27
